"head"	"genomeSize"	"description"
"BACT_1101"	1673280	"Streptobacillus moniliformis DSM 12112 plasmid pSMON01, complete sequence"
"BACT_1102"	2193092	"Streptococcus agalactiae 18RS21 s_agalactiae_18rs21_3064, whole genome shotgun sequence"
"BACT_1103"	2088229	"Streptococcus agalactiae 515 s_agalactiae_515_43, whole genome shotgun sequence"
"BACT_1104"	2105032	"Streptococcus agalactiae CJB111 s_agalactiae_cjb111_14, whole genome shotgun sequence"
"BACT_1105"	2205442	"Streptococcus agalactiae COH1 s_agalactiae_coh1_33, whole genome shotgun sequence"
"BACT_1106"	2201150	"Streptococcus agalactiae H36B s_agalactiae_h36b_26, whole genome shotgun sequence"
"BACT_1107"	2211485	"Streptococcus agalactiae NEM316, complete genome"
"BACT_1108"	2106340	"Streptococcus dysgalactiae subsp. equisimilis GGS_124 chromosome 1, complete genome"
"BACT_1109"	2253793	"Streptococcus equi subsp. equi 4047, complete genome"
"BACT_110"	5914523	"Bacillus cereus ATCC 10876 contig00031, whole genome shotgun sequence"
"BACT_1110"	2149868	"Streptococcus equi subsp. zooepidemicus, complete genome"
"BACT_1111"	2196662	"Streptococcus gordonii str. Challis substr. CH1, complete genome"
"BACT_1112"	1925087	"Streptococcus infantarius subsp. infantarius ATCC BAA-102 S_infantarius-2.0.1_Cont260, whole genome shotgun sequence"
"BACT_1113"	2030921	"Streptococcus mutans UA159 chromosome, complete genome"
"BACT_1114"	2088772	"Streptococcus pneumoniae TCH8431/19A chromosome, complete genome"
"BACT_1115"	1937111	"Streptococcus pyogenes MGAS10750 chromosome, complete genome"
"BACT_1116"	2128332	"Streptococcus salivarius SK126 contig00116, whole genome shotgun sequence"
"BACT_1117"	2388435	"Streptococcus sanguinis SK36, complete genome"
"BACT_1118"	2220439	"Streptococcus sp. 2_1_36FAA cont1.31, whole genome shotgun sequence"
"BACT_1119"	2170808	"Streptococcus suis BM407 plasmid pBM407, complete sequence"
"BACT_111"	5432652	"Bacillus cereus ATCC 10987, complete genome"
"BACT_1120"	1864178	"Streptococcus thermophilus LMD-9 plasmid 1, complete sequence"
"BACT_1121"	1852352	"Streptococcus uberis 0140J, complete genome"
"BACT_1122"	6619469	"Streptomyces albus J1074 NZ_ABYC01000001, whole genome shotgun sequence"
"BACT_1123"	9119895	"Streptomyces avermitilis MA-4680, complete genome"
"BACT_1124"	9054847	"Streptomyces coelicolor A3(2) plasmid SCP2, complete sequence"
"BACT_1125"	7587528	"Streptomyces flavogriseus ATCC 33331 ctg00096, whole genome shotgun sequence"
"BACT_1126"	8223278	"Streptomyces ghanaensis ATCC 14672 NZ_ABYA01000001, whole genome shotgun sequence"
"BACT_1127"	7364052	"Streptomyces griseoflavus Tu4000 NZ_ACFA01000001, whole genome shotgun sequence"
"BACT_1128"	8545929	"Streptomyces griseus subsp. griseus NBRC 13350, complete genome"
"BACT_1129"	10466286	"Streptomyces hygroscopicus ATCC 53653 NZ_ACEX01000001, whole genome shotgun sequence"
"BACT_112"	5427083	"Bacillus cereus ATCC 14579, complete genome"
"BACT_1130"	8190887	"Streptomyces lividans TK24 NZ_ACEY01000001, whole genome shotgun sequence"
"BACT_1131"	7763119	"Streptomyces roseosporus NRRL 11379 NZ_ABYX01000001, whole genome shotgun sequence"
"BACT_1132"	9152172	"Streptomyces sp. AA4 NZ_ACEV01000001, whole genome shotgun sequence"
"BACT_1133"	7916041	"Streptomyces sp. C NZ_ACEW01000001, whole genome shotgun sequence"
"BACT_1135"	6970553	"Streptomyces sp. SPB74 genomic scaffold supercont3.1, whole genome shotgun sequence"
"BACT_1136"	6897976	"Streptomyces sp. SPB78 NZ_ACEU01000001, whole genome shotgun sequence"
"BACT_1137"	8548109	"Streptomyces viridochromogenes DSM 40736 NZ_ACEZ01000001, whole genome shotgun sequence"
"BACT_1138"	10369518	"Streptosporangium roseum DSM 43021, complete genome"
"BACT_1139"	3237471	"Subdoligranulum variabile DSM 15176 NZ_ACBY02000001, whole genome shotgun sequence"
"BACT_113"	5224297	"Bacillus cereus ATCC 4342 contig00006, whole genome shotgun sequence"
"BACT_1140"	4002069	"Sulfitobacter sp. NAS-14.1 1099451320462, whole genome shotgun sequence"
"BACT_1141"	1640877	"Sulfurihydrogenibium azorense Az-Fu1 chromosome, complete genome"
"BACT_1142"	1838442	"Sulfurihydrogenibium sp. YO3AOP1, complete genome"
"BACT_1143"	1534471	"Sulfurihydrogenibium yellowstonense SS-5 gcontig_208, whole genome shotgun sequence"
"BACT_1144"	2201561	"Sulfurimonas denitrificans DSM 1251, complete genome"
"BACT_1145"	2306351	"Sulfurospirillum deleyianum DSM 6946, complete genome"
"BACT_1146"	2562277	"Sulfurovum sp. NBC37-1 chromosome, complete genome"
"BACT_1147"	3566135	"Symbiobacterium thermophilum IAM 14863, complete genome"
"BACT_1148"	2696255	"Synechococcus elongatus PCC 6301, complete genome"
"BACT_1149"	2283377	"Synechococcus sp. BL107 1099739244043, whole genome shotgun sequence"
"BACT_114"	5419036	"Bacillus cereus B4264, complete genome"
"BACT_1150"	2606748	"Synechococcus sp. CC9311, complete genome"
"BACT_1151"	2510659	"Synechococcus sp. CC9605, complete genome"
"BACT_1152"	2234828	"Synechococcus sp. CC9902 chromosome, complete genome"
"BACT_1153"	3046682	"Synechococcus sp. JA-2-3B'a(2-13), complete genome"
"BACT_1154"	2932766	"Synechococcus sp. JA-3-3Ab, complete genome"
"BACT_1155"	3414744	"Synechococcus sp. PCC 7002 plasmid pAQ7, complete sequence"
"BACT_1156"	5964106	"Synechococcus sp. PCC 7335 ctg_1103496006854, whole genome shotgun sequence"
"BACT_1157"	2224914	"Synechococcus sp. RCC307, complete genome"
"BACT_1158"	2664465	"Synechococcus sp. RS9916 1100013017033, whole genome shotgun sequence"
"BACT_1159"	2579542	"Synechococcus sp. RS9917 strain RS9917 1099465004203, whole genome shotgun sequence"
"BACT_115"	5385750	"Bacillus cereus BDRD-Cer4 contig00043, whole genome shotgun sequence"
"BACT_1160"	3043834	"Synechococcus sp. WH 5701 1099465003738, whole genome shotgun sequence"
"BACT_1161"	2366980	"Synechococcus sp. WH 7803, complete genome"
"BACT_1162"	2620367	"Synechococcus sp. WH 7805 1099646010154, whole genome shotgun sequence"
"BACT_1163"	2434428	"Synechococcus sp. WH 8102, complete genome"
